iddesa,pop2020
1103070001,1080
1103070002,713
1103070003,1082
1103070004,1087
1103070005,1060
1103070006,1005
1103070007,683
1103070008,1060
1103070009,1933
1103070010,1052
1103070011,1135
1103070012,1130
1103070013,391
1103070014,1256
1103070015,473
1103080001,1130
1103080002,506
1103080003,1974
1103080004,946
1103080005,665
1103080006,932
1103080007,1184
1103080008,1648
1103080009,543
1103080010,621
1103080011,897
1103080012,1286
1103080013,1431
1103080014,250
1103080015,1632
1103080016,242
1103080017,630
1103080018,1054
1103080019,1102
1103080020,543
1103080021,493
1103080022,774
1103080023,372
1103090010,527
1103090011,1210
1103090012,1235
1103090013,769
1103090014,1056
1103090015,1246
1103090016,1057
1103090028,1093
1103090029,699
1103090030,303
1103090031,461
1103090032,599
1103090033,438
1103090034,1175
1103090035,1149
1103090036,1559
1103091001,767
1103091002,1112
1103091003,453
1103091004,825
1103091005,482
1103091006,636
1103091007,714
1103091008,439
1103091009,1213
1103091010,1270
1103091011,562
1103091012,380
1103092001,1110
1103092002,307
1103092003,952
1103092004,1490
1103092005,1607
1103092006,1231
1103092007,1537
1103092008,1430
1103092009,1262
1103092010,729
1103092011,2533
1103092012,1356
1103092013,891
1103092014,901
1103092015,575
1104010021,760
1104010022,525
1104010023,852
1104010024,683
1104010025,735
1104010026,764
1104010027,423
1104010028,1005
1104010029,997
1104010030,972
1104010031,853
1104010032,644
1104010034,695
1104010035,326
1104010036,289
1104010037,498
1104010038,583
1104010039,421
1104010040,462
1104010041,362
1104010042,363
1104010043,493
1104010044,528
1104010045,368
1104010046,476
1104010047,528
1104010048,404
1104010049,317
1104011001,467
1104011002,374
1104011003,386
1104011004,507
1104011005,289
1104011006,177
1104011007,229
1104011008,394
1104011009,446
1104011010,197
1104011011,213
1104011012,482
1104011013,788
1104011017,470
1104011018,362
1104011019,333
1104011020,317
1104011021,244
1104011022,210
1104011023,236
1104011024,183
1104011025,294
1104011026,292
1104011027,352
1104011028,396
1104011029,215
1104011030,337
1104012001,393
1104012002,488
1104012003,300
1104012005,338
1104012006,370
1104012007,393
1104012008,314
1104012009,391
1104012010,259
1104012011,386
1104012012,297
1104012013,255
1104012014,268
1104012015,623
1104020011,1631
1104020012,563
1104020013,473
1104020014,891
1104020016,1058
1104020017,790
1104020018,930
1104020019,299
1104020020,468
1104020021,544
1104020022,562
1104020023,558
1104020024,635
1104020027,374
1104020035,558
1104020036,757
1104020037,596
1104020038,749
1104020039,845
1104020040,644
1104020041,558
1104020042,363
1104020043,374
1104020044,451
1104020045,405
1104020046,478
1104020047,548
1104020048,225
1104020049,733
1104020050,432
1104020051,283
1104020052,409
1104020053,430
1104020054,514
1104020055,1031
1104021002,1322
1104021003,447
1104021004,862
1104021005,445
1104021006,1258
1104021007,1095
1104021008,957
1104021009,588
1104021010,522
1104021011,545
1104021017,471
1104021018,869
1104021019,808
1104021020,936
1104021021,568
1104021022,522
1104021023,416
1104021024,428
1104021025,426
1104021026,585
1104021027,342
1104022001,589
1104022002,853
1104022003,1039
1104022004,685
1104022005,1183
1104022006,1188
1104022007,131
1104022008,926
1104022009,439
1104022010,1043
1104022011,643
1104022012,383
1104022013,537
1104022014,746
1104022015,421
1104022016,780
1104022017,597
1104022018,724
1104022019,210
1104023001,384
1104023002,286
1104023003,532
1104023004,304
1104023005,657
1104023006,114
1104023007,207
1104023008,158
1104023009,175
1104023010,178
1104023011,217
1104023012,136
1104023013,138
1104023014,58
1104023015,173
1104023016,357
1104023017,278
1104023018,914
1104023019,330
1104023020,161
1104023021,688
1104023022,343
1104023023,743
1104030016,695
1104030017,469
1104030018,552
1104030019,412
1104030020,1500
1104030021,766
1104030022,693
1104030023,645
1104030024,619
1104030025,1210
1104030026,888
1104030027,925
1104030028,793
1104030029,1139
1104030034,844
1104030040,322
1104030041,303
1104030042,509
1104030046,599
1104030047,852
1104030048,443
1104030049,100
1104030050,190
1104030051,371
1104030052,635
1104030053,395
1104030054,238
1104030055,305
1104030056,325
1104030057,213
1104030058,264
1104030059,262
1104030060,434
1104031001,491
1104031002,251
1104031003,367
1104031004,535
1104031005,388
1104031006,420
1104031007,548
1104031008,1155
1104031009,569
1104031010,846
1104031012,455
1104031013,263
1104031014,463
1104031015,568
1104031016,772
1104031017,318
1104031018,341
1104031019,363
1104031020,222
1104031021,383
1104031022,823
1104031023,504
1104031024,382
1104032001,662
1104032002,418
1104032003,468
1104032004,471
1104032005,208
1104032006,383
1104032007,621
1104032008,403
1104032009,291
1104032010,301
1104032011,344
1104032012,590
1104032013,486
1104032014,397
1104032015,417
1104032016,547
1104032017,297
1104032018,1701
1104040001,1643
1104040002,1435
1104040003,1821
1104040004,1390
1104040005,4023
1104040010,888
1104040011,1183
1104040012,2645
1104040013,774
1104040021,553
1104040022,1793
1104040023,895
1104040024,486
1104040026,918
1104040027,657
1104040029,452
1104040030,205
1104040031,459
1104040032,657
1104040033,1240
1104040034,1329
1104040035,693
1104040036,375
1104040037,497
1104040038,363
1104040039,601
1104040040,557
1104041001,951
1104041002,729
1104041003,2375
1104041004,709
1104041005,551
1104041006,759
1104041007,460
1104041012,631
1104041013,628
1104041014,601
1104041016,424
1104041018,620
1104041019,1593
1104041020,1189
1104041021,488
1104041022,271
1104041023,430
1104041024,492
1104041025,280
1104041026,810
1104041027,428
1104041028,373
1104041029,690
1104041030,1023
1104050002,1251
1104050003,325
1104050004,350
1104050005,833
1104050006,1210
1104050014,522
1104050015,715
1104050022,1455
1104050034,1560
1104050035,1120
1104050036,352
1104050037,409
1104050038,1029
1104050040,672
1104050041,361
1104050042,493
1104050043,832
1104050044,598
1104051001,497
1104051002,517
1104051003,618
1104051004,532
1104051005,763
1104051006,623
1104051007,579
1104051008,407
1104051009,679
1104051010,601
1104051011,311
1104051012,334
1104051013,682
1104051014,692
1104051015,689
1104051016,658
1104051017,303
1104051018,408
1104051019,406
1104051020,614
1104051021,456
1104051022,1017
1104051023,237
1104051024,521
1104051025,371
1104051026,653
1104051027,208
1104051028,308
1104052001,391
1104052002,453
1104052003,500
1104052004,677
1104052005,466
1104052006,319
1104052007,373
1104052008,593
1104052009,336
1104052010,398
1104052011,553
1104052012,408
1104052013,299
1104052014,323
1104052015,295
1104052016,434
1104052017,352
1104052018,728
1104052019,360
1104052020,131
1104052021,746
1104052022,409
1104052023,404
1104052024,634
1104052025,476
1104053001,337
1104053002,678
1104053003,741
1104053004,670
1104053005,615
1104053006,487
1104053007,302
1104053008,294
1104053009,791
1104053010,292
1104053011,297
1104053012,385
1104053013,397
1104053014,360
1104053015,233
1104053016,224
1104053017,190
1104053018,186
1104053019,288
1104053020,161
1104053021,339
1104053022,659
1105080001,399
1105080002,332
1105080003,454
1105080004,225
1105080013,133
1105080014,318
1105080015,306
1105080016,421
1105080017,384
1105080018,374
1105080019,429
1105080020,173
1105080021,251
1105080022,243
1105080023,804
1105080028,498
1105080029,298
1105080030,267
1105081001,148
1105081002,505
1105081003,701
1105081004,431
1105081005,616
1105081006,407
1105081007,551
